Title,Article Body (Cleaned),Category
"Defining User Criteria for an Article (demo article for a ""How to"" template and an AQI review )",,
Common Customer Account & Profile Issues Issues and Resolutions,,
Failed Login Playbook – Manual Runbook,,
How to Deal with Spam,,
"Where can I obtain updates and new releases?
		",,
"Feedback Mechanisms  in Knowledge (demo data for a ""What is"" template)",,
Switch to IPv6 causing IP address issues,,
"Defining User Criteria for an Article (demo article for a ""How to"" template and an AQI review)",,
"Are Copyrighted Files Illegal to Have On My
			Computer?
		",,
Create An Email Signature		,,Outlook
What is Spam?,,Tips and Tricks
"What are phishing scams and how can I avoid them?
		",,Tips and Tricks
About Windows 10,,
What to do when you are locked out of you computer ?,,
"Life Feed Application (demo data for a ""What is"" template)",,
What is the Windows key?		,,
"Managing Settings in Internet Explorer 10 for
			Windows 8
		",,
"How can I find the MAC address of my Ethernet or
			wireless interface?
		",,
"How to set or change your default web browser
		",,
"How to configure VPN for Apple Devices
		",,
Getting Around in Windows,,
Is User Account Compromised?,,
"Importing Address Book From CSV File
		",,Outlook
"How can I secure my Android OS device?
		",,
Prevent further recurrence of the threat,,
Common Billing & Invoicing Issues and Resolutions,,
Workstation Security Standard,,
"Creating a New Article (demo article for a ""How to"" template and an AQI review )",,
Workstation Security Standard,,
What is a cookie?		,,
Common Billing & Invoicing Issues and Resolutions,,
"How do I quit an application that isn't responding?
		",,
Automated Action: Create Block Requests for Malicious IPs and URLs,,
"Defining User Criteria for an Article (demo article for a ""How to"" template and an AQI review)",,
About Windows Vista,,
Deleted Email Recovery		,,Outlook
"Can I upgrade my operating system? What are the
					system requirements?
		",,
"How can I restore my computer to a previous
			configuration?
		",,
What to do when you are locked out of you computer ?,,
"How do I create and delete users?
		",,
Automated Activity To Perform Sighting Search,,
"Creating a New Article (demo article for a ""How to"" template and an AQI review )",,
Post-incident review,,
Automation Activity: Reset the user credentials and sent an email to the user,,
Requirements for Mac Operating System,,
"Windows: Should I upgrade to Windows 8.x?
		",,
How to Remove AirWatch MDM from Android or iOS Device,,
Cisco WebEx Meetings Server does not boot up after deployment,,
Common Asset & Service Sync Errors Issues and Resolutions,,
USB port is not working on my PC,,
Automated Activity To Run Threat Lookup and Observable Enrichment,,
About Windows 7,,
Common Order Management & Cancellation Issues and Resolutions,,
Requirements for Mac Operating System,,
Microsoft Outlook Issues,,
Create And Edit A Contact Group		,,Outlook
"Dealing with Spyware and Viruses
		",,
Excel Functionality,,
Common Billing & Invoicing Issues and Resolutions,,
Common Streaming & TV Services Issues and Resolutions,,
"Warranty coverage details for SCI and DeSC
			computers
		",,
"Eclipse configuration for Android development
		",,
Manual Response Task: Verify system logs to identity new Observables,,
"Creating a New Article (demo article for a ""How to"" template and an AQI review)",,
Sales Force Automation is DOWN,,
"Email Interruption Tonight at 11:00 PM Eastern
		",,
Requirements for Mac Operating System,,
"Automatic Replies (Out Of Office)
		",,Outlook
"Enable/Disable Wireless Laptop Connections
		",,
